State,Winning,Losing
Pawn,1.0,0.9341143718826123
Rook,0.7779215332863402,0.7779215332863402
Bishop,0.25362933088254974,0.15627314339760692
Knight,0.08060817502877589,0.17796436251371875
Queen,0.03633346122616509,0.03633346122616509
